"BW,ADG,DMI,TDN,ME,CP,DP,Ca,P"
"5.2,0.19,0.275,233.938,0.829,59.062,50.625,2.621,1.703"
"5.8,0.187,0.302,248.861,0.986,70.344,59.834,2.847,1.738"
"6.1,0.202,0.306,249.336,0.861,59.78,47.09,2.803,1.78"
"6.5,0.228,0.291,274.261,0.985,75.48,57.468,2.711,1.744"
"6.9,0.205,0.385,248.443,0.928,63.544,52.341,3.04,2.113"
"7.5,0.222,0.416,290.004,1.274,58.028,65.059,3.084,2.142"
"8.2,0.282,0.376,303.995,1.322,84.563,63.059,2.95,1.994"
"9.1,0.281,0.408,357.412,1.39,99.012,67.583,3.279,2.153"
"10.0,0.269,0.473,352.072,1.485,114.297,84.695,4.061,2.599"
"10.8,0.313,0.458,344.782,1.355,80.672,78.21,3.873,2.59"
"12.3,0.331,0.73,546.969,2.001,116.123,103.501,5.846,3.558"
"15.1,0.367,0.739,511.473,2.479,145.988,118.613,5.426,3.97"
"18.4,0.428,0.997,651.758,3.257,137.123,125.17,6.635,4.422"
"21.6,0.383,0.948,650.058,3.314,173.442,142.975,6.955,4.79"
"24.2,0.421,0.952,797.541,3.304,188.526,154.25,7.92,5.211"
"27.1,0.524,1.558,1036.323,4.722,195.539,170.384,11.269,6.94"
"32.5,0.541,1.798,1122.361,5.489,220.337,219.49,12.843,9.004"
"38.0,0.656,1.816,997.813,5.907,197.095,226.488,13.533,9.136"
"43.2,0.629,1.964,1238.966,6.738,225.026,199.749,12.518,8.775"
"48.7,0.634,2.584,1534.743,7.87,271.703,254.354,17.459,11.212"
"52.4,0.866,2.751,1460.454,8.587,279.44,251.219,18.433,11.824"
"58.1,0.798,2.641,1924.96,9.001,337.246,287.628,18.856,12.834"
"63.5,0.866,3.186,1834.856,9.461,277.879,295.543,21.95,15.046"
"68.9,0.785,3.462,1968.937,10.791,319.25,280.97,22.349,15.159"
"73.2,0.882,3.946,2612.765,11.997,339.64,321.249,26.564,16.499"
"77.3,0.956,4.146,2651.0,11.463,361.426,303.006,27.325,18.746"
"82.6,0.881,4.097,2062.816,13.394,325.89,347.051,26.919,19.889"
"88.1,1.033,4.726,2862.501,13.603,388.766,370.465,32.787,23.03"
"93.4,0.961,4.82,2719.087,14.225,374.728,338.146,33.256,22.649"
"98.5,1.003,5.057,3054.202,16.489,338.113,319.989,31.868,20.669"
"104.2,0.97,5.312,3001.385,17.009,372.642,310.12,33.759,21.869"
"111.5,1.2,5.943,3249.568,17.412,354.694,310.434,37.041,25.316"
"119.8,1.008,6.763,3415.462,19.363,332.778,324.936,41.27,27.307"
"126.3,0.906,6.966,3722.474,19.292,349.335,331.093,45.85,29.024"
"132.1,1.065,7.805,3291.795,19.694,319.266,318.83,47.118,35.62"
